Site,Canton,Project,Contact,Lat_WGS84,Long_WGS84
Calanda,GR,Calanda,Jonathan Levine,46.88776,9.48943
Nesselboden,GR,Calanda,Jonathan Levine,46.86918,9.49006
1600m,GR,Calanda,Jonathan Levine,46.87747,9.49421
Arella,GR,Calanda,Jonathan Levine,46.87386,9.50881
Stillberg high,GR,WaRM,"Chelsea Chisholm, Christian Rixen, Sonja Wipf",46.772663,9.858747
Stillberg low,GR,WaRM,"Chelsea Chisholm, Christian Rixen, Sonja Wipf",46.77634,9.86755
Furka,VS,,"Erika Hiltbrunner, Christian Körner",46.57761,8.42146
Leuk,VS,ETH,Simone Fior,46.31228,7.66231
Oberu,VS,ETH,Simone Fior,46.34542,7.67322
Fineln,VS,ETH,Simone Fior,46.01201,7.7631
Zeneggen,VS,ETH,Simone Fior,46.27238,7.87702
Eschikon,ZH,,Jonathan Levine,47.44978,8.681
CalandaPeak,GR,Calanda,Jonathan Levine,46.89306,9.47048
Les Pléiades,VD,PlantPopNet,"Maude Baudraz, Yvonne Buckley",46.48335,6.91424
Hauteville ,VD,PlantPopNet,"Maude Baudraz, Yvonne Buckley",46.46289,6.87218
Chamby,VD,PlantPopNet,"Maude Baudraz, Yvonne Buckley",46.44545,6.9309
Neusäss,GR,Calanda,Jonathan Levine,46.88675,9.4954
Les Diablerets,VD,PlantPopNet,"Maude Baudraz, Yvonne Buckley",46.36874,7.12251
Bovonne,VD,ETH,Loic Pelissier,46.26821,7.10785
LaCorde,VD,ETH,Loic Pelissier,46.27745,7.15404
L'Hongrin,VD,PlantPopNet,"Maude Baudraz, Yvonne Buckley",46.40677,7.06149
La Forclaz/Le Sépey,VD,PlantPopNet,"Maude Baudraz, Yvonne Buckley",46.35417,7.07158
GryonHostel,VD,,Merlin Cousins,46.2748,7.06251
LesPosses,VD,NICH,Jake Alexander,46.27065,7.0327
Solalex,VD,NICH,Jake Alexander,46.2866,7.13379
Anzeinde,VD,NICH,Jake Alexander,46.28745,7.16814
Paneirosse,VD,ETH,Loic Pelissier,46.2677,7.16241
Bex,VD,,Loic's sister,46.248267,7.007083
Gryon,VD,,Olivier's home,46.28348,7.09092
Aigle,VD,,Patrice's home,46.31057,6.96339
Prabeneu2,VD,SNF,Jake Alexander,46.21926,7.0459
LesMartinaux,VD,NICH,Jake Alexander,46.21557,7.05104
Cretelet,VD,NICH,Jake Alexander,46.21785,7.05451
Rionda2,VD,SNF,Jake Alexander,46.20331,7.05959
UNIL greenhouse,VD,NICH,Jake Alexander,46.52232,6.57655
Zurich-ETH Hoengg,ZH,,Jake Alexander,47.40851,8.51087
Rionda1,VD,NICH,Hanna,46.20411,7.06033
Prabeneu1,VD,NICH,Hanna,46.21645,7.03965
